miRNA_ID,read_count,reads_per_million_miRNA_mapped,cross-mapped
hsa-mir-4426,0,0,N
hsa-mir-4427,0,0,N
hsa-mir-4428,0,0,N
hsa-mir-4429,0,0,N
hsa-mir-4430,0,0,N
hsa-mir-4431,0,0,N
hsa-mir-4432,0,0,N
hsa-mir-4433a,0,0,N
hsa-mir-4433b,1,0.196031,N
hsa-mir-4434,1,0.196031,N
hsa-mir-4435-1,0,0,N
hsa-mir-4435-2,0,0,N
hsa-mir-4436a,0,0,N
hsa-mir-4436b-1,0,0,N
hsa-mir-4436b-2,0,0,N
hsa-mir-4437,0,0,N
hsa-mir-4438,0,0,N
hsa-mir-4439,0,0,N
hsa-mir-4440,0,0,N
hsa-mir-4441,0,0,N
hsa-mir-4442,1,0.196031,N
hsa-mir-4443,0,0,N
hsa-mir-4444-1,3,0.588093,N
hsa-mir-4444-2,3,0.588093,N
hsa-mir-4445,0,0,N
hsa-mir-4446,0,0,N
hsa-mir-4447,0,0,N
hsa-mir-4448,0,0,N
hsa-mir-4449,4,0.784124,N
hsa-mir-4450,0,0,N
hsa-mir-4451,0,0,N
hsa-mir-4452,0,0,N
hsa-mir-4453,3,0.588093,N
hsa-mir-4454,3,0.588093,N
hsa-mir-4455,0,0,N
hsa-mir-4456,0,0,N
hsa-mir-4457,0,0,N
hsa-mir-4458,0,0,N
hsa-mir-4459,0,0,N
hsa-mir-4460,0,0,N
hsa-mir-4461,4,0.784124,N
hsa-mir-4462,0,0,N
hsa-mir-4463,0,0,N
hsa-mir-4464,0,0,N
hsa-mir-4465,0,0,N
hsa-mir-4466,0,0,N
hsa-mir-4467,0,0,N
hsa-mir-4468,0,0,N
hsa-mir-4469,1,0.196031,N
hsa-mir-4470,1,0.196031,N
hsa-mir-4471,0,0,N
hsa-mir-4472-1,0,0,N
hsa-mir-4472-2,0,0,N
hsa-mir-4473,0,0,N
hsa-mir-4474,0,0,N
hsa-mir-4475,0,0,N
hsa-mir-4476,0,0,N
hsa-mir-4477a,0,0,N
hsa-mir-4477b,0,0,N
hsa-mir-4478,1,0.196031,N
hsa-mir-4479,1,0.196031,N
hsa-mir-448,1,0.196031,N
hsa-mir-4480,0,0,N
hsa-mir-4481,0,0,N
hsa-mir-4482,0,0,N
hsa-mir-4483,0,0,N
hsa-mir-4484,1,0.196031,N
hsa-mir-4485,0,0,N
hsa-mir-4486,0,0,N
hsa-mir-4487,0,0,N
hsa-mir-4488,0,0,N
hsa-mir-4489,2,0.392062,N
hsa-mir-4490,0,0,N
hsa-mir-4491,4,0.784124,N
hsa-mir-4492,1,0.196031,N
hsa-mir-4493,0,0,N
hsa-mir-4494,0,0,N
hsa-mir-4495,0,0,N
hsa-mir-4496,0,0,N
hsa-mir-4497,0,0,N
hsa-mir-4498,0,0,N
hsa-mir-4499,0,0,N
hsa-mir-449a,0,0,N
hsa-mir-449b,0,0,N
hsa-mir-449c,0,0,N
hsa-mir-4500,0,0,N
hsa-mir-4501,0,0,N
hsa-mir-4502,0,0,N
hsa-mir-4503,0,0,N
hsa-mir-4504,0,0,N
hsa-mir-4505,2,0.392062,N
hsa-mir-4506,0,0,N
hsa-mir-4507,0,0,N
hsa-mir-4508,0,0,N
hsa-mir-4509-1,0,0,N
hsa-mir-4509-2,0,0,N
hsa-mir-4509-3,0,0,N
hsa-mir-450a-1,55,10.781707,N
hsa-mir-450a-2,40,7.841242,N
hsa-mir-450b,53,10.389645,N
hsa-mir-4510,0,0,N
hsa-mir-4511,1,0.196031,N
hsa-mir-4512,0,0,N
hsa-mir-4513,0,0,N
hsa-mir-4514,0,0,N
hsa-mir-4515,1,0.196031,N
hsa-mir-4516,0,0,N
hsa-mir-4517,1,0.196031,N
hsa-mir-4518,0,0,N
hsa-mir-4519,0,0,N
hsa-mir-451a,362,70.963236,N
hsa-mir-451b,0,0,N
hsa-mir-452,1087,213.085738,N
hsa-mir-4520-1,0,0,N
hsa-mir-4520-2,0,0,N
hsa-mir-4521,0,0,N
hsa-mir-4522,0,0,N
hsa-mir-4523,2,0.392062,N
hsa-mir-4524a,4,0.784124,N
hsa-mir-4524b,0,0,N
hsa-mir-4525,1,0.196031,N
hsa-mir-4526,0,0,N
hsa-mir-4527,0,0,N
hsa-mir-4528,0,0,N
hsa-mir-4529,0,0,N
hsa-mir-4530,0,0,N
hsa-mir-4531,0,0,N
hsa-mir-4532,0,0,N
hsa-mir-4533,5,0.980155,N
hsa-mir-4534,0,0,N
hsa-mir-4535,0,0,N
hsa-mir-4536-1,0,0,N
hsa-mir-4536-2,0,0,N
hsa-mir-4537,0,0,N
hsa-mir-4538,0,0,N
hsa-mir-4539,0,0,N
hsa-mir-454,36,7.057117,N
hsa-mir-4540,0,0,N
hsa-mir-455,2924,573.194755,N
hsa-mir-4632,2,0.392062,N
hsa-mir-4633,0,0,N
hsa-mir-4634,0,0,N
hsa-mir-4635,0,0,N
hsa-mir-4636,3,0.588093,N
hsa-mir-4637,0,0,N
hsa-mir-4638,1,0.196031,N
hsa-mir-4639,0,0,N
hsa-mir-4640,0,0,N
hsa-mir-4641,0,0,N
hsa-mir-4642,0,0,N
hsa-mir-4643,0,0,N
hsa-mir-4644,0,0,N
hsa-mir-4645,2,0.392062,N
hsa-mir-4646,0,0,N
hsa-mir-4647,0,0,N
hsa-mir-4648,0,0,N
hsa-mir-4649,0,0,N
hsa-mir-4650-1,0,0,N
hsa-mir-4650-2,0,0,N
hsa-mir-4651,0,0,N
hsa-mir-4652,7,1.372217,N
hsa-mir-4653,0,0,N
hsa-mir-4654,0,0,N
hsa-mir-4655,0,0,N
hsa-mir-4656,0,0,N
hsa-mir-4657,1,0.196031,N
hsa-mir-4658,1,0.196031,N
hsa-mir-4659a,0,0,N
hsa-mir-4659b,0,0,N
hsa-mir-466,1,0.196031,N
hsa-mir-4660,1,0.196031,N
hsa-mir-4661,32,6.272993,N
hsa-mir-4662a,214,41.950642,N
hsa-mir-4662b,0,0,N
hsa-mir-4663,0,0,N
hsa-mir-4664,7,1.372217,N
hsa-mir-4665,0,0,N
hsa-mir-4666a,0,0,N
hsa-mir-4666b,0,0,N
hsa-mir-4667,1,0.196031,N
hsa-mir-4668,9,1.764279,N
hsa-mir-4669,0,0,N
hsa-mir-4670,3,0.588093,N
hsa-mir-4671,0,0,N
hsa-mir-4672,0,0,N
hsa-mir-4673,0,0,N
hsa-mir-4674,0,0,N
hsa-mir-4675,0,0,N
hsa-mir-4676,3,0.588093,N
hsa-mir-4677,35,6.861086,N
hsa-mir-4678,0,0,N
hsa-mir-4679-1,1,0.196031,N
hsa-mir-4679-2,1,0.196031,N
hsa-mir-4680,0,0,N
hsa-mir-4681,0,0,N
hsa-mir-4682,0,0,N
hsa-mir-4683,3,0.588093,N
hsa-mir-4684,0,0,N
hsa-mir-4685,1,0.196031,N
hsa-mir-4686,0,0,N
hsa-mir-4687,3,0.588093,N
hsa-mir-4688,0,0,N
hsa-mir-4689,0,0,N
hsa-mir-4690,0,0,N
hsa-mir-4691,0,0,N
hsa-mir-4692,0,0,N
hsa-mir-4693,0,0,N
hsa-mir-4694,0,0,N
hsa-mir-4695,0,0,N
hsa-mir-4696,0,0,N
hsa-mir-4697,0,0,N
hsa-mir-4698,0,0,N
hsa-mir-4699,1,0.196031,N
hsa-mir-4700,0,0,N
hsa-mir-4701,0,0,N
hsa-mir-4703,0,0,N
hsa-mir-4704,0,0,N
hsa-mir-4705,2,0.392062,N
hsa-mir-4706,0,0,N
hsa-mir-4707,3,0.588093,N
hsa-mir-4708,0,0,N
hsa-mir-4709,1,0.196031,N
hsa-mir-4710,0,0,N
hsa-mir-4711,0,0,N
hsa-mir-4712,0,0,N
hsa-mir-4713,0,0,N
hsa-mir-4714,0,0,N
hsa-mir-4715,0,0,N
hsa-mir-4716,0,0,N
hsa-mir-4717,0,0,N
hsa-mir-4718,0,0,N
hsa-mir-4719,0,0,N
hsa-mir-4720,0,0,N
hsa-mir-4721,0,0,N
hsa-mir-4722,0,0,N
hsa-mir-4723,0,0,N
hsa-mir-4724,7,1.372217,N
hsa-mir-4725,1,0.196031,N
hsa-mir-4726,0,0,N
hsa-mir-4727,2,0.392062,N
hsa-mir-4728,6,1.176186,N
hsa-mir-4729,0,0,N
hsa-mir-4730,0,0,N
hsa-mir-4731,0,0,N
hsa-mir-4732,0,0,N
hsa-mir-4733,0,0,N
hsa-mir-4734,0,0,N
hsa-mir-4735,0,0,N
hsa-mir-4736,1,0.196031,N
hsa-mir-4737,0,0,N
hsa-mir-4738,0,0,N
hsa-mir-4739,0,0,N
hsa-mir-4740,2,0.392062,N
hsa-mir-4741,1,0.196031,N
hsa-mir-4742,4,0.784124,N
hsa-mir-4743,0,0,N
hsa-mir-4744,0,0,N
hsa-mir-4745,0,0,N
hsa-mir-4746,9,1.764279,N
hsa-mir-4747,0,0,N
hsa-mir-4748,0,0,N
hsa-mir-4749,0,0,N
hsa-mir-4750,0,0,N
hsa-mir-4751,2,0.392062,N
hsa-mir-4752,0,0,N
hsa-mir-4753,0,0,N
hsa-mir-4754,2,0.392062,N
hsa-mir-4755,0,0,N
hsa-mir-4756,0,0,N
hsa-mir-4757,0,0,N
hsa-mir-4758,0,0,N
hsa-mir-4759,0,0,N
hsa-mir-4760,0,0,N
hsa-mir-4761,0,0,N
hsa-mir-4762,1,0.196031,N
hsa-mir-4763,0,0,N
hsa-mir-4764,0,0,N
hsa-mir-4765,0,0,N
hsa-mir-4766,2,0.392062,N
hsa-mir-4767,0,0,N
hsa-mir-4768,1,0.196031,N
hsa-mir-4769,0,0,N
hsa-mir-4770,4,0.784124,N
hsa-mir-4771-1,0,0,N
hsa-mir-4771-2,0,0,N
hsa-mir-4772,71,13.918204,N
hsa-mir-4773-1,0,0,N
hsa-mir-4773-2,1,0.196031,N
hsa-mir-4774,0,0,N
hsa-mir-4775,1,0.196031,N
hsa-mir-4776-1,0,0,N
hsa-mir-4776-2,0,0,N
hsa-mir-4777,0,0,N
hsa-mir-4778,0,0,N
hsa-mir-4779,0,0,N
hsa-mir-4780,0,0,N
hsa-mir-4781,1,0.196031,N
hsa-mir-4782,0,0,N
hsa-mir-4783,1,0.196031,N
hsa-mir-4784,2,0.392062,N
hsa-mir-4785,0,0,N
hsa-mir-4786,6,1.176186,N
hsa-mir-4787,3,0.588093,N
hsa-mir-4788,0,0,N
hsa-mir-4789,0,0,N
hsa-mir-4790,2,0.392062,N
hsa-mir-4791,0,0,N
hsa-mir-4792,0,0,N
hsa-mir-4793,0,0,N
hsa-mir-4794,0,0,N
hsa-mir-4795,2,0.392062,N
hsa-mir-4796,0,0,N
hsa-mir-4797,1,0.196031,N
hsa-mir-4798,0,0,N
hsa-mir-4799,0,0,N
hsa-mir-4800,0,0,N
hsa-mir-4801,0,0,N
hsa-mir-4802,1,0.196031,N
hsa-mir-4803,0,0,N
hsa-mir-4804,0,0,N
hsa-mir-483,7,1.372217,N
hsa-mir-484,471,92.330619,N
hsa-mir-485,46,9.017428,N
hsa-mir-486-1,77,15.09439,N
hsa-mir-486-2,77,15.09439,N
hsa-mir-487a,7,1.372217,N
hsa-mir-487b,44,8.625366,N
hsa-mir-488,0,0,N
hsa-mir-489,1,0.196031,N
hsa-mir-490,0,0,N
hsa-mir-491,23,4.508714,N
hsa-mir-492,0,0,N
hsa-mir-493,75,14.702328,N
hsa-mir-494,4,0.784124,N
hsa-mir-495,45,8.821397,N
hsa-mir-496,20,3.920621,N
hsa-mir-497,191,37.441928,N
hsa-mir-498,17,3.332528,N
hsa-mir-4999,15,2.940466,N
hsa-mir-499a,0,0,N
hsa-mir-499b,0,0,N
hsa-mir-5000,5,0.980155,N
hsa-mir-5001,4,0.784124,N
hsa-mir-5002,0,0,N
hsa-mir-5003,0,0,N
hsa-mir-5004,0,0,N
hsa-mir-5006,0,0,N
hsa-mir-5007,0,0,N
hsa-mir-5008,0,0,N
hsa-mir-5009,0,0,N
hsa-mir-500a,4324,847.638208,Y
hsa-mir-500b,64,12.545986,Y
hsa-mir-501,132,25.876097,N
hsa-mir-5010,6,1.176186,N
hsa-mir-5011,0,0,N
hsa-mir-502,133,26.072128,Y
hsa-mir-503,58,11.3698,N
hsa-mir-504,19,3.72459,N
hsa-mir-5047,0,0,N
hsa-mir-505,432,84.685408,N
hsa-mir-506,3,0.588093,N
hsa-mir-507,0,0,N
hsa-mir-508,46,9.017428,N
hsa-mir-5087,1,0.196031,N
hsa-mir-5088,1,0.196031,N
hsa-mir-5089,0,0,N
hsa-mir-5090,1,0.196031,N
hsa-mir-5091,0,0,N
hsa-mir-509-1,6,1.176186,N
hsa-mir-5092,0,0,N
hsa-mir-509-2,5,0.980155,N
hsa-mir-5093,0,0,N
hsa-mir-509-3,3,0.588093,N
hsa-mir-5094,0,0,N
hsa-mir-5095,0,0,N
hsa-mir-5096,0,0,N
hsa-mir-510,0,0,N
hsa-mir-5100,0,0,N
hsa-mir-511,130,25.484035,N
hsa-mir-512-1,131,25.680066,N
hsa-mir-512-2,125,24.50388,N
hsa-mir-513a-1,0,0,N
hsa-mir-513a-2,0,0,N
hsa-mir-513b,2,0.392062,N
hsa-mir-513c,2,0.392062,N
hsa-mir-514a-1,9,1.764279,N
hsa-mir-514a-2,12,2.352372,N
hsa-mir-514a-3,16,3.136497,N
hsa-mir-514b,0,0,N
hsa-mir-515-1,20,3.920621,N
hsa-mir-515-2,31,6.076962,N
hsa-mir-516a-1,232,45.479201,Y
hsa-mir-516a-2,200,39.206208,N
hsa-mir-516b-1,58,11.3698,N
hsa-mir-516b-2,35,6.861086,N
hsa-mir-517a,255,49.987915,Y
hsa-mir-517b,254,49.791884,Y
hsa-mir-517c,57,11.173769,Y
hsa-mir-5186,0,0,N
hsa-mir-5187,5,0.980155,N
hsa-mir-5188,0,0,N
hsa-mir-5189,0,0,N
hsa-mir-518a-1,49,9.605521,Y
hsa-mir-518a-2,81,15.878514,Y
hsa-mir-518b,117,22.935631,N
hsa-mir-518c,127,24.895942,N
hsa-mir-518d,1,0.196031,N
hsa-mir-518e,99,19.407073,Y
hsa-mir-518f,78,15.290421,N
hsa-mir-5190,0,0,N
hsa-mir-5191,0,0,N
hsa-mir-5192,0,0,N
hsa-mir-5193,2,0.392062,N
hsa-mir-5194,0,0,N
hsa-mir-5195,0,0,N
hsa-mir-5196,0,0,N
hsa-mir-5197,0,0,N
hsa-mir-519a-1,147,28.816563,N
hsa-mir-519a-2,305,59.789467,Y
hsa-mir-519b,12,2.352372,N
hsa-mir-519c,20,3.920621,N
hsa-mir-519d,65,12.742017,N
hsa-mir-519e,2,0.392062,N
hsa-mir-520a,214,41.950642,N
hsa-mir-520b,304,59.593436,Y
hsa-mir-520c,89,17.446762,Y
hsa-mir-520d,60,11.761862,Y
hsa-mir-520e,15,2.940466,N
hsa-mir-520f,105,20.583259,N
hsa-mir-520g,132,25.876097,Y
hsa-mir-520h,96,18.81898,Y
hsa-mir-521-1,18,3.528559,N
hsa-mir-521-2,2,0.392062,N
hsa-mir-522,95,18.622949,Y
hsa-mir-523,19,3.72459,N
hsa-mir-524,17,3.332528,N
hsa-mir-525,102,19.995166,Y
hsa-mir-526a-1,1,0.196031,N
hsa-mir-526a-2,0,0,N
hsa-mir-526b,299,58.61328,Y
hsa-mir-527,53,10.389645,Y
hsa-mir-532,8791,1723.308855,N
hsa-mir-539,25,4.900776,N
hsa-mir-541,5,0.980155,N
hsa-mir-542,1363,267.190305,N
hsa-mir-543,6,1.176186,N
hsa-mir-544a,0,0,N
hsa-mir-544b,0,0,N
hsa-mir-545,2,0.392062,N
hsa-mir-548a-1,0,0,N
hsa-mir-548a-2,0,0,N
hsa-mir-548a-3,0,0,N
hsa-mir-548aa-1,0,0,N
hsa-mir-548aa-2,0,0,N
hsa-mir-548ab,0,0,N
hsa-mir-548ac,0,0,N
hsa-mir-548ad,0,0,N
hsa-mir-548ae-1,0,0,N
hsa-mir-548ae-2,0,0,N
hsa-mir-548ag-1,0,0,N
hsa-mir-548ag-2,5,0.980155,N
hsa-mir-548ah,0,0,N
hsa-mir-548ai,0,0,N
hsa-mir-548aj-1,0,0,N
hsa-mir-548aj-2,0,0,N
hsa-mir-548ak,0,0,N
hsa-mir-548al,0,0,N
hsa-mir-548am,0,0,N
hsa-mir-548an,0,0,N
hsa-mir-548ao,0,0,N
hsa-mir-548ap,0,0,N
hsa-mir-548aq,0,0,N
hsa-mir-548ar,0,0,N
hsa-mir-548as,0,0,N
hsa-mir-548at,0,0,N
hsa-mir-548au,1,0.196031,N
hsa-mir-548av,0,0,N
hsa-mir-548aw,1,0.196031,N
hsa-mir-548ax,0,0,N
hsa-mir-548ay,2,0.392062,N
hsa-mir-548az,1,0.196031,N
hsa-mir-548b,77,15.09439,N
hsa-mir-548ba,0,0,N
hsa-mir-548bb,0,0,N
hsa-mir-548c,0,0,N
hsa-mir-548d-1,0,0,N
hsa-mir-548d-2,0,0,N
hsa-mir-548e,1,0.196031,N
hsa-mir-548f-1,0,0,N
hsa-mir-548f-2,0,0,N
hsa-mir-548f-3,0,0,N
hsa-mir-548f-4,0,0,N
hsa-mir-548f-5,0,0,N
hsa-mir-548g,0,0,N
hsa-mir-548h-1,0,0,N
hsa-mir-548h-2,0,0,N
hsa-mir-548h-3,0,0,N
hsa-mir-548h-4,0,0,N
hsa-mir-548h-5,0,0,N
hsa-mir-548i-1,0,0,N
hsa-mir-548i-2,0,0,N
hsa-mir-548i-3,0,0,N
hsa-mir-548i-4,0,0,N
hsa-mir-548j,2,0.392062,N
hsa-mir-548k,0,0,N
hsa-mir-548l,2,0.392062,N
hsa-mir-548m,0,0,N
hsa-mir-548n,0,0,N
hsa-mir-548o,5,0.980155,N
hsa-mir-548o-2,1,0.196031,N
hsa-mir-548p,0,0,N
hsa-mir-548q,3,0.588093,N
hsa-mir-548s,2,0.392062,N
hsa-mir-548t,0,0,N
hsa-mir-548u,0,0,N
hsa-mir-548v,6,1.176186,N
hsa-mir-548w,0,0,N
hsa-mir-548x,0,0,N
hsa-mir-548x-2,0,0,N
hsa-mir-548y,5,0.980155,N
hsa-mir-548z,0,0,N
hsa-mir-549a,3,0.588093,N
hsa-mir-550a-1,12,2.352372,N
hsa-mir-550a-2,8,1.568248,N
hsa-mir-550a-3,9,1.764279,N
hsa-mir-550b-1,0,0,N
hsa-mir-550b-2,0,0,N
hsa-mir-551a,2,0.392062,N
hsa-mir-551b,102,19.995166,N
hsa-mir-552,361,70.767205,N
hsa-mir-553,0,0,N
hsa-mir-554,0,0,N
hsa-mir-555,0,0,N
hsa-mir-556,2,0.392062,N
hsa-mir-557,0,0,N
hsa-mir-5571,5,0.980155,N
hsa-mir-5572,0,0,N
hsa-mir-5579,0,0,N
hsa-mir-558,0,0,N
hsa-mir-5580,0,0,N
hsa-mir-5581,3,0.588093,N
hsa-mir-5582,0,0,N
hsa-mir-5583-1,0,0,N
hsa-mir-5583-2,0,0,N
hsa-mir-5584,0,0,N
hsa-mir-5585,1,0.196031,N
hsa-mir-5586,19,3.72459,N
hsa-mir-5587,0,0,N
hsa-mir-5588,1,0.196031,N
hsa-mir-5589,19,3.72459,N
hsa-mir-559,0,0,N
hsa-mir-5590,0,0,N
hsa-mir-5591,0,0,N
hsa-mir-561,3,0.588093,N
hsa-mir-562,0,0,N
hsa-mir-563,0,0,N
hsa-mir-564,1,0.196031,N
hsa-mir-566,0,0,N
hsa-mir-567,0,0,N
hsa-mir-568,0,0,N
hsa-mir-5680,1,0.196031,N
hsa-mir-5681a,0,0,N
hsa-mir-5681b,0,0,N
hsa-mir-5682,0,0,N
hsa-mir-5683,9,1.764279,N
hsa-mir-5684,1,0.196031,N
hsa-mir-5685,0,0,N
hsa-mir-5687,2,0.392062,N
hsa-mir-5688,0,0,N
hsa-mir-5689,0,0,N
hsa-mir-569,0,0,N
hsa-mir-5690,1,0.196031,N
hsa-mir-5691,0,0,N
hsa-mir-5692a-1,0,0,N
hsa-mir-5692a-2,0,0,N
hsa-mir-5692b,0,0,N
hsa-mir-5692c-1,0,0,N
hsa-mir-5692c-2,0,0,N
hsa-mir-5693,1,0.196031,N
hsa-mir-5694,0,0,N
hsa-mir-5695,0,0,N
hsa-mir-5696,1,0.196031,N
hsa-mir-5697,0,0,N
hsa-mir-5698,0,0,N
hsa-mir-5699,0,0,N
hsa-mir-570,1,0.196031,N
hsa-mir-5700,0,0,N
hsa-mir-5701-1,0,0,N
hsa-mir-5701-2,0,0,N
hsa-mir-5701-3,0,0,N
hsa-mir-5702,0,0,N
hsa-mir-5703,2,0.392062,N
hsa-mir-5704,0,0,N
hsa-mir-5705,0,0,N
hsa-mir-5706,0,0,N
hsa-mir-5707,0,0,N
hsa-mir-5708,0,0,N
hsa-mir-571,0,0,N
hsa-mir-572,0,0,N
hsa-mir-573,0,0,N
hsa-mir-5739,0,0,N
hsa-mir-574,1304,255.624474,N
hsa-mir-575,0,0,N
hsa-mir-576,68,13.330111,N
hsa-mir-577,8,1.568248,N
hsa-mir-578,0,0,N
hsa-mir-5787,0,0,N
hsa-mir-579,8,1.568248,N
hsa-mir-580,2,0.392062,N
hsa-mir-581,4,0.784124,N
hsa-mir-582,626,122.71543,N
hsa-mir-583,0,0,N
hsa-mir-584,325,63.710087,N
hsa-mir-585,10,1.96031,N
hsa-mir-586,0,0,N
hsa-mir-587,0,0,N
hsa-mir-588,1,0.196031,N
hsa-mir-589,289,56.65297,N
hsa-mir-590,91,17.838824,N
hsa-mir-591,0,0,N
hsa-mir-592,2,0.392062,N
hsa-mir-593,0,0,N
hsa-mir-595,0,0,N
hsa-mir-596,0,0,N
hsa-mir-597,1,0.196031,N
hsa-mir-598,81,15.878514,N
hsa-mir-599,1,0.196031,N
hsa-mir-600,0,0,N
hsa-mir-601,0,0,N
hsa-mir-602,0,0,N
hsa-mir-603,0,0,N
hsa-mir-604,0,0,N
hsa-mir-605,6,1.176186,N
hsa-mir-606,0,0,N
hsa-mir-6068,0,0,N
hsa-mir-6069,0,0,N
hsa-mir-607,0,0,N
hsa-mir-6070,0,0,N
hsa-mir-6071,0,0,N
hsa-mir-6072,0,0,N
hsa-mir-6073,0,0,N
hsa-mir-6074,0,0,N
hsa-mir-6075,0,0,N
hsa-mir-6076,0,0,N
hsa-mir-6077,0,0,N
hsa-mir-6078,0,0,N
hsa-mir-6079,0,0,N
hsa-mir-608,0,0,N
hsa-mir-6080,0,0,N
hsa-mir-6081,0,0,N
hsa-mir-6082,0,0,N
hsa-mir-6083,0,0,N
hsa-mir-6084,1,0.196031,N
hsa-mir-6085,0,0,N
hsa-mir-6086,0,0,N
hsa-mir-6087,0,0,N
hsa-mir-6088,0,0,N
hsa-mir-6089-1,0,0,N
hsa-mir-6089-2,0,0,N
hsa-mir-609,0,0,N
hsa-mir-6090,0,0,N
hsa-mir-610,0,0,N
hsa-mir-611,0,0,N
hsa-mir-612,0,0,N
hsa-mir-6124,0,0,N
hsa-mir-6125,0,0,N
hsa-mir-6126,0,0,N
hsa-mir-6127,0,0,N
hsa-mir-6128,0,0,N
hsa-mir-6129,0,0,N
hsa-mir-613,0,0,N
hsa-mir-6130,0,0,N
hsa-mir-6131,0,0,N
hsa-mir-6132,0,0,N
hsa-mir-6133,0,0,N
hsa-mir-6134,0,0,N
hsa-mir-614,0,0,N
hsa-mir-615,1,0.196031,N
hsa-mir-616,31,6.076962,N
hsa-mir-6165,0,0,N
hsa-mir-617,0,0,N
hsa-mir-618,11,2.156341,N
hsa-mir-619,0,0,N
hsa-mir-620,0,0,N
hsa-mir-621,2,0.392062,N
hsa-mir-622,0,0,N
hsa-mir-623,0,0,N
hsa-mir-624,24,4.704745,N
hsa-mir-625,788,154.472458,N
hsa-mir-626,0,0,N
hsa-mir-627,4,0.784124,N
hsa-mir-628,72,14.114235,N
hsa-mir-629,446,87.429843,N
hsa-mir-630,0,0,N
hsa-mir-631,0,0,N
hsa-mir-632,2,0.392062,N
hsa-mir-633,0,0,N
hsa-mir-634,0,0,N
hsa-mir-635,0,0,N
hsa-mir-636,0,0,N
hsa-mir-637,0,0,N
hsa-mir-638,0,0,N
hsa-mir-639,1,0.196031,N
hsa-mir-640,0,0,N
hsa-mir-641,2,0.392062,N
hsa-mir-642a,11,2.156341,N
hsa-mir-642b,0,0,N
hsa-mir-643,7,1.372217,N
hsa-mir-644a,0,0,N
hsa-mir-645,0,0,N
hsa-mir-646,0,0,N
hsa-mir-647,1,0.196031,N
hsa-mir-648,0,0,N
hsa-mir-649,0,0,N
hsa-mir-6499,0,0,N
hsa-mir-650,0,0,N
hsa-mir-6500,0,0,N
hsa-mir-6501,0,0,N
hsa-mir-6502,1,0.196031,N
hsa-mir-6503,4,0.784124,N
hsa-mir-6504,0,0,N
hsa-mir-6505,0,0,N
hsa-mir-6506,1,0.196031,N
hsa-mir-6507,0,0,N
hsa-mir-6508,0,0,N
hsa-mir-6509,4,0.784124,N
hsa-mir-651,30,5.880931,N
hsa-mir-6510,0,0,N
hsa-mir-6511a-1,0,0,N
hsa-mir-6511a-2,0,0,N
hsa-mir-6511a-3,0,0,N
hsa-mir-6511a-4,0,0,N
hsa-mir-6511b-1,3,0.588093,N
hsa-mir-6511b-2,4,0.784124,N
hsa-mir-6512,1,0.196031,N
hsa-mir-6513,0,0,N
hsa-mir-6514,5,0.980155,N
hsa-mir-6515,2,0.392062,N
hsa-mir-6516,8,1.568248,N
hsa-mir-652,206,40.382394,N
hsa-mir-653,43,8.429335,N
hsa-mir-654,180,35.285587,N
hsa-mir-655,9,1.764279,N
hsa-mir-656,4,0.784124,N
hsa-mir-657,0,0,N
hsa-mir-658,1,0.196031,N
hsa-mir-659,3,0.588093,N
hsa-mir-660,532,104.288512,N
hsa-mir-661,0,0,N
hsa-mir-662,0,0,N
hsa-mir-663a,0,0,N
hsa-mir-663b,0,0,N
hsa-mir-664a,496,97.231395,N
hsa-mir-664b,82,16.074545,N
hsa-mir-665,2,0.392062,N
hsa-mir-668,0,0,N
hsa-mir-670,0,0,N
hsa-mir-671,51,9.997583,N
hsa-mir-6715a,67,13.13408,N
hsa-mir-6715b,1,0.196031,N
hsa-mir-6716,5,0.980155,N
hsa-mir-6717,1,0.196031,N
hsa-mir-6718,1,0.196031,N
hsa-mir-6719,0,0,N
hsa-mir-6720,1,0.196031,N
hsa-mir-6721,0,0,N
hsa-mir-6722,0,0,N
hsa-mir-6723,0,0,N
hsa-mir-6724-1,0,0,N
hsa-mir-6724-2,0,0,N
hsa-mir-6724-3,0,0,N
hsa-mir-6724-4,0,0,N
hsa-mir-6726,1,0.196031,N
hsa-mir-6727,0,0,N
hsa-mir-6728,0,0,N
hsa-mir-6729,0,0,N
hsa-mir-6730,0,0,N
hsa-mir-6731,0,0,N
hsa-mir-6732,0,0,N
hsa-mir-6733,4,0.784124,N
hsa-mir-6734,1,0.196031,N
hsa-mir-6735,0,0,N
hsa-mir-6736,0,0,N
hsa-mir-6737,0,0,N
hsa-mir-6738,0,0,N
hsa-mir-6739,0,0,N
hsa-mir-6740,1,0.196031,N
hsa-mir-6741,1,0.196031,N
hsa-mir-6742,0,0,N
hsa-mir-6743,0,0,N
hsa-mir-6744,0,0,N
hsa-mir-6745,0,0,N
hsa-mir-6746,1,0.196031,N
hsa-mir-6747,5,0.980155,N
hsa-mir-6748,0,0,N
hsa-mir-6749,0,0,N
hsa-mir-675,147,28.816563,N
hsa-mir-6750,0,0,N
hsa-mir-6751,2,0.392062,N
hsa-mir-6752,0,0,N
hsa-mir-6753,0,0,N
hsa-mir-6754,0,0,N
hsa-mir-6755,8,1.568248,N
hsa-mir-6756,0,0,N
hsa-mir-6757,0,0,N
hsa-mir-6758,0,0,N
hsa-mir-6759,0,0,N
hsa-mir-676,18,3.528559,N
hsa-mir-6760,0,0,N
hsa-mir-6761,8,1.568248,N
