miRNA_ID,read_count,reads_per_million_miRNA_mapped,cross-mapped
hsa-mir-133a-1,48,9.40949,Y
hsa-mir-133a-2,22,4.312683,N
hsa-mir-133b,6,1.176186,Y
hsa-mir-134,1299,254.644318,N
hsa-mir-1343,12,2.352372,N
hsa-mir-135a-1,3,0.588093,N
hsa-mir-135a-2,1,0.196031,N
hsa-mir-135b,7,1.372217,N
hsa-mir-136,107,20.975321,N
hsa-mir-137,2,0.392062,N
hsa-mir-138-1,10,1.96031,N
hsa-mir-138-2,2,0.392062,N
hsa-mir-139,626,122.71543,N
hsa-mir-140,10943,2145.167649,N
hsa-mir-141,18,3.528559,N
hsa-mir-142,15115,2963.009139,N
hsa-mir-143,606454,118883.807111,N
hsa-mir-144,50,9.801552,N
hsa-mir-145,13505,2647.399168,N
hsa-mir-1468,101,19.799135,N
hsa-mir-1469,0,0,N
hsa-mir-146a,401,78.608446,N
hsa-mir-146b,2253,441.657929,N
hsa-mir-1470,0,0,N
hsa-mir-1471,0,0,N
hsa-mir-147a,0,0,N
hsa-mir-147b,2,0.392062,N
hsa-mir-148a,390051,76462.102398,N
hsa-mir-148b,862,168.978755,N
hsa-mir-149,122,23.915787,N
hsa-mir-150,12055,2363.154163,N
hsa-mir-151a,11835,2320.027335,N
hsa-mir-151b,20,3.920621,N
hsa-mir-152,2935,575.351096,N
hsa-mir-153-1,1,0.196031,N
hsa-mir-153-2,51,9.997583,N
hsa-mir-1537,1,0.196031,N
hsa-mir-1538,0,0,N
hsa-mir-1539,0,0,N
hsa-mir-154,47,9.213459,N
hsa-mir-155,3664,718.257723,N
hsa-mir-1587,0,0,N
hsa-mir-15a,1081,211.909552,N
hsa-mir-15b,1745,342.074161,N
hsa-mir-16-1,1225,240.138022,N
hsa-mir-16-2,1188,232.884873,N
hsa-mir-17,14325,2808.144619,Y
hsa-mir-181a-1,3696,724.530716,N
hsa-mir-181a-2,7506,1471.408971,N
hsa-mir-181b-1,499,97.819488,N
hsa-mir-181b-2,530,103.89645,N
hsa-mir-181c,290,56.849001,N
hsa-mir-181d,52,10.193614,N
hsa-mir-182,15766,3090.625345,N
hsa-mir-1825,0,0,N
hsa-mir-1827,0,0,N
hsa-mir-183,7465,1463.371699,N
hsa-mir-184,4,0.784124,N
hsa-mir-185,382,74.883857,N
hsa-mir-186,1535,300.907643,N
hsa-mir-187,96,18.81898,N
hsa-mir-188,20,3.920621,N
hsa-mir-18a,412,80.764788,Y
hsa-mir-18b,16,3.136497,Y
hsa-mir-1908,1,0.196031,N
hsa-mir-1909,0,0,N
hsa-mir-190a,8,1.568248,N
hsa-mir-190b,0,0,N
hsa-mir-191,3821,749.034596,N
hsa-mir-1910,1,0.196031,N
hsa-mir-1911,1,0.196031,N
hsa-mir-1912,1,0.196031,N
hsa-mir-1913,0,0,N
hsa-mir-1914,1,0.196031,N
hsa-mir-1915,0,0,N
hsa-mir-192,238730,46798.489698,Y
hsa-mir-193a,2728,534.772672,N
hsa-mir-193b,1106,216.810328,N
hsa-mir-194-1,26612,5216.777983,N
hsa-mir-194-2,30196,5919.353223,N
hsa-mir-195,212,41.55858,N
hsa-mir-196a-1,0,0,N
hsa-mir-196a-2,0,0,N
hsa-mir-196b,523,102.524233,N
hsa-mir-197,2363,463.221343,N
hsa-mir-1972-1,0,0,N
hsa-mir-1972-2,0,0,N
hsa-mir-1973,0,0,N
hsa-mir-1976,46,9.017428,N
hsa-mir-198,1,0.196031,N
hsa-mir-199a-1,7154,1402.406046,Y
hsa-mir-199a-2,11427,2240.046671,Y
hsa-mir-199b,14308,2804.812092,Y
hsa-mir-19a,126,24.699911,N
hsa-mir-19b-1,376,73.70767,N
hsa-mir-19b-2,334,65.474367,N
hsa-mir-200a,151,29.600687,N
hsa-mir-200b,138,27.052283,N
hsa-mir-200c,75,14.702328,N
hsa-mir-202,1,0.196031,N
hsa-mir-203a,2005,393.042231,N
hsa-mir-203b,0,0,N
hsa-mir-204,72,14.114235,N
hsa-mir-205,0,0,N
hsa-mir-2052,0,0,N
hsa-mir-2053,0,0,N
hsa-mir-2054,0,0,N
hsa-mir-206,0,0,N
hsa-mir-208a,0,0,N
hsa-mir-208b,0,0,N
hsa-mir-20a,2795,547.906751,N
hsa-mir-20b,55,10.781707,N
hsa-mir-21,851667,166953.166029,N
hsa-mir-210,534,104.680574,N
hsa-mir-211,2,0.392062,N
hsa-mir-2110,6,1.176186,N
hsa-mir-2113,0,0,N
hsa-mir-2114,8,1.568248,N
hsa-mir-2115,0,0,N
hsa-mir-2116,4,0.784124,N
hsa-mir-2117,0,0,N
hsa-mir-212,41,8.037273,N
hsa-mir-214,128,25.091973,N
hsa-mir-215,322,63.121994,Y
hsa-mir-216a,433,84.881439,N
hsa-mir-216b,264,51.752194,N
hsa-mir-217,23106,4529.493164,N
hsa-mir-218-1,204,39.990332,N
hsa-mir-218-2,199,39.010177,N
hsa-mir-219a-1,22,4.312683,N
hsa-mir-219a-2,1,0.196031,N
hsa-mir-219b,4,0.784124,N
hsa-mir-22,782770,153447.215605,N
hsa-mir-221,539,105.660729,N
hsa-mir-222,130,25.484035,N
hsa-mir-223,819,160.54942,N
hsa-mir-224,653,128.008268,N
hsa-mir-2276,5,0.980155,N
hsa-mir-2277,8,1.568248,N
hsa-mir-2278,0,0,N
hsa-mir-2355,335,65.670398,N
hsa-mir-2392,0,0,N
hsa-mir-23a,16672,3268.229465,Y
hsa-mir-23b,19537,3829.858389,Y
hsa-mir-23c,1,0.196031,N
hsa-mir-24-1,6915,1355.554628,N
hsa-mir-24-2,6850,1342.81261,N
hsa-mir-2467,0,0,N
hsa-mir-25,69382,13601.025478,N
hsa-mir-2681,1,0.196031,N
hsa-mir-2682,0,0,N
hsa-mir-26a-1,6588,1291.452478,N
hsa-mir-26a-2,6372,1249.109774,N
hsa-mir-26b,6079,1191.67268,N
hsa-mir-27a,12388,2428.432499,Y
hsa-mir-27b,40371,7913.969035,Y
hsa-mir-28,20150,3950.025415,N
hsa-mir-2861,0,0,N
hsa-mir-2909,0,0,N
hsa-mir-296,127,24.895942,N
hsa-mir-297,0,0,N
hsa-mir-298,0,0,N
hsa-mir-299,7,1.372217,N
hsa-mir-29a,78723,15432.151403,N
hsa-mir-29b-1,5490,1076.210399,Y
hsa-mir-29b-2,2850,558.688458,N
hsa-mir-29c,50274,9855.264404,Y
hsa-mir-300,0,0,N
hsa-mir-301a,70,13.722173,N
hsa-mir-301b,2,0.392062,N
hsa-mir-302a,0,0,N
hsa-mir-302b,0,0,N
hsa-mir-302c,0,0,N
hsa-mir-302d,0,0,N
hsa-mir-302e,0,0,N
hsa-mir-302f,0,0,N
hsa-mir-3064,4,0.784124,N
hsa-mir-3065,138,27.052283,N
hsa-mir-3074,22,4.312683,N
hsa-mir-30a,104080,20402.910434,Y
hsa-mir-30b,5325,1043.865277,Y
hsa-mir-30c-1,2789,546.730565,Y
hsa-mir-30c-2,3163,620.046173,Y
hsa-mir-30d,45375,8894.908349,N
hsa-mir-30e,80716,15822.841262,Y
hsa-mir-31,10,1.96031,N
hsa-mir-3115,0,0,N
hsa-mir-3116-1,0,0,N
hsa-mir-3116-2,0,0,N
hsa-mir-3117,2,0.392062,N
hsa-mir-3118-1,0,0,N
hsa-mir-3118-2,0,0,N
